id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_assets_adj;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;total_equity_adj;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_003;0;GmbH;76131;72100;1998;;GKV;731116.78;731116.78;341495.45;61143.19;-7168.27;243.25;7411.52;53974.92;53974.92;52053.11;319653.62;313006.82;252911.25;66742.37;0.0;25258.59;;;116549.5;;;;;;1.82e-11;-6646.8;214151.89;35675.26;475.93;;;5964.65;-53513.52;69912.93
C_489;0;GmbH;77815;49399;2003;;GKV;11941443.99;12505667.09;1309047.55;147254.69;-12445.35;10970.3;23415.65;134809.34;134809.34;93877.03;8210521.1;7902184.26;7476799.08;20652.83;0.0;2963373.58;;;1184372.97;;;;;;713069.19;404732.35;7838993.56;5691660.06;3277843.17;;;319836.17;-41792.13;88879.71
C_615;0;Sonst. Gewerbetreibende;77815;77320;1995;;GKV;6074835.95;6093486.66;3127214.58;603747.51;-331.59;;331.59;603415.92;603415.92;436281.08;2000488.33;1988824.33;515123.33;0.0;0.0;13252.72;;;179064.87;;;;;;1485365.0;1473701.0;1751588.41;673581.28;424288.83;137087.04;;447128.43;-65374.98;-407000.0
C_473;0;GmbH;76676;28140;2005;91.0;GKV;12651872.05;12651872.05;2799026.02;438113.72;-158474.53;5550.79;164025.32;279639.19;279639.19;189680.27;4639603.99;4633998.99;3272002.34;0.0;0.0;;;;;;;;;;1367601.65;1361996.65;4462761.68;2367386.48;645768.02;;;-157413.93;-77678.05;417001.0
C_661;0;GmbH;78224;84120;2006;17.0;GKV;881522.34;881522.34;304330.92;76617.06;-12364.34;;12364.34;64252.72;64252.72;58478.8;1053459.8;1053459.8;808459.8;0.0;0.0;;;;;;;;;;245000.0;245000.0;441214.8;78031.48;47217.4;;;54846.23;-1237.4;-156880.81
C_067;0;GmbH;67227;43991;2003;;GKV;4143262.41;4008613.81;1951666.13;-56570.28;-118077.05;108.05;118185.1;-174647.33;-362361.54;-368100.78;2426146.51;2272543.97;2426146.51;0.0;0.0;;;;;;;;;;;-153602.54;1430018.07;718266.46;56729.89;;;-10519.65;-18122.47;-625561.17
C_515;0;Sonst. Gewerbetreibende;67133;47710;2004;;GKV;8917777.06;15304309.5;6188366.06;706089.88;-331483.69;3945.36;335429.05;374606.19;369033.19;230623.57;9566269.78;13830380.14;13521822.64;120000.0;892409.0;30000.0;120000.0;415000.0;2504196.05;;;;;;251055.02;-703851.5;5845615.38;950998.31;33443.7;736201.39;;-140850.4;-527801.92;2024347.38
C_056;0;GmbH;69198;28290;1955;325.0;GKV;73214523.81;72955002.06;45616261.29;11407330.36;-372268.07;1242.95;384990.04;11035062.29;11035062.29;8.38e-09;29819835.87;28041406.16;18563322.96;210275.455;4823940.0;;;;4029848.19;;;;;;6012022.0;4443867.745;9631447.09;3490299.93;524736.97;2255921.31;;10243489.52;-1423635.95;-8722581.79
C_304;0;GmbH;68167;41103;1926;269.0;GKV;44180892.45;44180892.45;4627673.61;1211752.9;-95298.63;4620.0;99918.63;1116454.27;1116454.27;580774.22;10978627.2;10978627.2;5943297.7;1302000.0;420658.21;395000.0;1302000.0;420658.21;3017360.87;;;;;;3312671.29;3312671.29;5528571.54;5492259.81;2570724.44;;;2604555.6;-32254.74;-1297832.87
C_051;0;GmbH;69469;52100;2003;125.0;GKV;194354722.0;201593145.0;110562053.0;1470523.0;-796701.0;24085.0;1405354.0;673822.0;673822.0;101537.0;188315867.0;188315867.0;111339997.0;0.0;8576913.0;16302420.0;;;10017275.0;;;;;;68398957.0;68398957.0;124615055.0;55922520.0;1262775.0;42521295.0;;5117228.0;-2117850.0;-1849000.0
