id,Default,0,1
C_411,0,77.56,22.44
C_896,0,95.93,4.07
C_252,0,95.67,4.33
C_165,0,96.72,3.28
C_856,0,99.7,0.3
C_415,0,87.18,12.82
C_520,0,97.81,2.19
C_127,0,63.26,36.74
C_404,0,68.45,31.55
C_371,0,90.4,9.6
C_815,0,95.03,4.97
C_039,0,93.39,6.61
C_577,0,67.79,32.21
C_023,0,98.36,1.64
C_521,0,85.59,14.41
C_599,0,80.75,19.25
C_396,0,96.57,3.43
C_076,0,87.96,12.04
C_511,0,99.16,0.84
C_578,0,99.9,0.1
C_086,0,53.34,46.66
C_898,0,98.76,1.24
C_346,0,81.95,18.05
C_107,0,93.89,6.11
C_832,0,75.24,24.76
C_606,0,99.26,0.74
C_486,0,99.31,0.69
C_340,0,80.88,19.12
C_478,0,97.86,2.14
C_988,0,83.54,16.46
C_106,0,92.9,7.1
C_797,0,69.88,30.12
C_934,0,99.01,0.99
C_234,0,58.53,41.47
C_111,0,74.27,25.73
C_266,0,97.86,2.14
C_603,0,99.85,0.15
C_772,0,93.34,6.66
C_596,0,89.95,10.05
C_418,0,99.95,0.05
C_073,0,73.15,26.85
C_852,0,98.21,1.79
C_714,0,95.87,4.13
C_895,0,99.55,0.45
C_677,0,99.75,0.25
C_545,0,52.47,47.53
C_773,0,99.85,0.15
C_823,0,74.01,25.99
C_309,0,83.34,16.66
C_562,0,88.56,11.44
C_891,0,99.55,0.45
C_967,0,94.28,5.72
C_005,0,85.43,14.57
C_528,0,79.17,20.83
C_739,0,94.74,5.26
C_828,0,58.01,41.99
C_414,0,99.1,0.9
C_398,0,94.98,5.02
C_749,0,97.47,2.53
C_642,0,93.29,6.71
C_514,0,83.99,16.01
C_271,0,73.1,26.9
C_512,0,98.01,1.99
C_445,0,97.81,2.19
C_508,0,99.15,0.85
C_297,0,94.88,5.12
C_180,0,99.7,0.3
C_227,0,98.56,1.44
C_322,0,96.08,3.92
C_391,0,98.16,1.84
C_851,0,89.47,10.53
C_866,0,99.8,0.2
C_408,0,99.75,0.25
C_554,0,94.83,5.17
C_441,0,99.8,0.2
C_848,0,83.4,16.6
C_090,0,79.89,20.11
C_060,0,95.63,4.37
C_058,0,98.96,1.04
C_623,0,97.12,2.88
C_580,0,64.14,35.86
C_317,0,91.2,8.8
C_428,0,100.0,0.0
C_131,0,69.72,30.28
C_961,0,95.33,4.67
C_997,0,99.35,0.65
C_188,0,66.94,33.06
C_876,0,99.3,0.7
C_167,0,61.47,38.53
C_556,0,97.96,2.04
C_618,0,91.8,8.2
C_028,0,73.56,26.44
C_059,0,75.81,24.19
C_974,0,94.34,5.66
C_557,0,97.91,2.09
C_050,0,81.44,18.56
C_423,0,89.76,10.24
C_849,0,85.79,14.21
C_388,0,81.38,18.62
C_337,0,98.46,1.54
C_289,0,99.8,0.2
C_609,0,73.56,26.44
C_479,0,99.41,0.59
C_873,0,85.77,14.23
C_670,0,97.71,2.29
C_394,0,99.85,0.15
C_758,0,92.89,7.11
C_483,0,97.56,2.44
C_155,0,95.28,4.72
C_621,0,99.6,0.4
C_540,0,98.56,1.44
C_965,0,85.26,14.74
C_565,0,91.79,8.21
C_666,0,65.82,34.18
C_858,0,97.17,2.83
C_430,0,93.99,6.01
C_192,0,99.8,0.2
C_615,0,99.8,0.2
C_181,0,97.76,2.24
C_825,0,99.35,0.65
C_236,0,95.03,4.97
C_807,0,99.65,0.35
C_437,0,99.55,0.45
C_719,0,94.78,5.22
C_907,0,97.17,2.83
C_549,0,99.95,0.05
C_998,0,100.0,0.0
C_025,0,86.98,13.02
C_931,0,62.69,37.31
C_290,0,99.8,0.2
C_886,0,94.38,5.62
C_064,0,88.2,11.8
C_802,0,99.01,0.99
C_072,0,98.96,1.04
C_977,0,100.0,0.0
C_434,0,100.0,0.0
C_389,0,99.5,0.5
C_248,0,85.68,14.32
C_717,0,98.81,1.19
C_754,0,98.02,1.98
C_706,0,97.82,2.18
C_235,0,99.8,0.2
C_016,0,55.66,44.34
C_247,0,95.13,4.87
C_582,0,81.99,18.01
C_281,0,97.27,2.73
C_333,0,88.86,11.14
C_539,0,88.5,11.5
C_077,0,87.41,12.59
C_651,0,94.54,5.46
C_003,0,94.69,5.31
C_377,0,86.77,13.23
C_863,0,94.59,5.41
C_890,0,98.31,1.69
C_026,0,99.6,0.4
C_031,0,98.31,1.69
C_808,0,99.95,0.05
C_614,0,99.9,0.1
C_853,0,99.75,0.25
C_881,0,99.95,0.05
C_697,0,88.86,11.14
C_612,0,91.85,8.15
C_452,0,99.9,0.1
C_507,0,80.6,19.4
C_008,0,81.33,18.67
C_840,0,89.85,10.15
C_119,0,99.35,0.65
C_022,0,86.78,13.22
C_882,0,93.48,6.52
C_464,0,98.36,1.64
C_835,0,98.31,1.69
C_045,0,68.59,31.41
C_151,0,88.31,11.69
C_844,0,81.84,18.16
C_561,0,97.17,2.83
C_656,0,83.28,16.72
C_593,0,83.39,16.61
C_640,0,98.11,1.89
C_442,0,99.5,0.5
C_836,0,91.51,8.49
C_145,0,71.04,28.96
C_432,0,56.72,43.28
C_027,0,99.75,0.25
C_586,0,90.31,9.69
C_420,0,99.35,0.65
C_862,0,100.0,0.0
C_989,0,76.53,23.47
C_909,0,98.16,1.84
C_698,0,98.56,1.44
C_200,0,74.93,25.07
